direction,alpha,content_id,belief,delta
d,-1.0,c041,0.7050085067749023,-0.04351520538330078
d,-1.0,c006,0.9159650802612305,-0.09726524353027344
d,-1.0,c039,0.5780420303344727,-0.1235818862915039
d,-1.0,c017,0.4874715805053711,-0.13827991485595703
d,-1.0,c058,0.5584907531738281,-0.028955459594726562
d,-1.0,c002,0.4450521469116211,-0.06945133209228516
d,-1.0,c024,0.06801414489746094,-0.08259201049804688
d,-1.0,c023,0.49973106384277344,-0.0713357925415039
d,-1.0,c022,0.12703704833984375,-0.08749103546142578
d,-1.0,c056,0.7630643844604492,-0.03704357147216797
d,-1.0,c029,0.2903928756713867,-0.0497894287109375
d,-1.0,c025,0.0883026123046875,-0.07038688659667969
d,-1.0,c000,0.5548667907714844,-0.034026145935058594
d,-1.0,c036,0.14335918426513672,-0.11936187744140625
d,-1.0,c020,1.6941204071044922,-0.1301126480102539
d,-1.0,c011,0.7526893615722656,-0.15750694274902344
d,-1.0,c003,0.5893793106079102,-0.11423587799072266
d,-1.0,c045,1.7014989852905273,-0.15363311767578125
d,-1.0,c046,0.5602293014526367,-0.066253662109375
d,-1.0,c044,1.7968053817749023,-0.19647979736328125
d,-1.0,c008,-0.11796188354492188,-0.048892974853515625
d,-1.0,c049,0.42292118072509766,-0.18856239318847656
d,-1.0,c013,1.4810905456542969,-0.18233108520507812
d,-1.0,c042,0.7147979736328125,-0.20604896545410156
d,-1.0,c009,-0.12558269500732422,-0.06752681732177734
d,-1.0,c047,0.40834522247314453,-0.01710033416748047
d,-1.0,c050,0.9523658752441406,-0.1625204086303711
d,-1.0,c043,-0.7848691940307617,-0.050131797790527344
d,-1.0,c016,0.5097808837890625,-0.12833881378173828
d,-1.0,c014,0.26525020599365234,-0.13261890411376953
d,-1.0,c041,0.1915760040283203,-0.035943031311035156
d,-1.0,c006,1.0228643417358398,-0.16020679473876953
d,-1.0,c039,0.19719219207763672,-0.07422447204589844
d,-1.0,c017,0.7998523712158203,-0.08038330078125
d,-1.0,c058,0.5588216781616211,-0.09714508056640625
d,-1.0,c002,0.4224815368652344,-0.07030677795410156
d,-1.0,c024,0.15696239471435547,-0.095123291015625
d,-1.0,c023,0.77490234375,-0.044960975646972656
d,-1.0,c022,0.32511234283447266,-0.0027780532836914062
d,-1.0,c056,-0.1426687240600586,-0.0897512435913086
d,1.0,c041,0.8092489242553711,0.06072521209716797
d,1.0,c006,1.12493896484375,0.1117086410522461
d,1.0,c039,0.8739948272705078,0.17237091064453125
d,1.0,c017,0.7879543304443359,0.1622028350830078
d,1.0,c058,0.6282501220703125,0.04080390930175781
d,1.0,c002,0.6013336181640625,0.08683013916015625
d,1.0,c024,0.26593494415283203,0.11532878875732422
d,1.0,c023,0.6757316589355469,0.10466480255126953
d,1.0,c022,0.3296680450439453,0.11513996124267578
d,1.0,c056,0.8623018264770508,0.062193870544433594
d,1.0,c029,0.41870594024658203,0.07852363586425781
d,1.0,c025,0.2784900665283203,0.11980056762695312
d,1.0,c000,0.648834228515625,0.05994129180908203
d,1.0,c036,0.43575191497802734,0.17303085327148438
d,1.0,c020,1.9509029388427734,0.12666988372802734
d,1.0,c011,1.082850456237793,0.1726541519165039
d,1.0,c003,0.8395805358886719,0.13596534729003906
d,1.0,c045,2.0104265213012695,0.15529441833496094
d,1.0,c046,0.6984462738037109,0.07196331024169922
d,1.0,c044,2.1802120208740234,0.18692684173583984
d,1.0,c008,0.02207469940185547,0.09114360809326172
d,1.0,c049,0.8862981796264648,0.2748146057128906
d,1.0,c013,1.8499822616577148,0.18656063079833984
d,1.0,c042,1.1224308013916016,0.2015838623046875
d,1.0,c009,0.049887657165527344,0.10794353485107422
d,1.0,c047,0.4606790542602539,0.035233497619628906
d,1.0,c050,1.2837610244750977,0.16887474060058594
d,1.0,c043,-0.6544275283813477,0.08030986785888672
d,1.0,c016,0.7919092178344727,0.15378952026367188
d,1.0,c014,0.5368127822875977,0.13894367218017578
d,1.0,c041,0.2664670944213867,0.03894805908203125
d,1.0,c006,1.3530054092407227,0.16993427276611328
d,1.0,c039,0.3986825942993164,0.12726593017578125
d,1.0,c017,0.9772109985351562,0.09697532653808594
d,1.0,c058,0.7640094757080078,0.10804271697998047
d,1.0,c002,0.6003522872924805,0.10756397247314453
d,1.0,c024,0.38553619384765625,0.13345050811767578
d,1.0,c023,0.8799552917480469,0.06009197235107422
d,1.0,c022,0.3374795913696289,0.009589195251464844
d,1.0,c056,0.059264183044433594,0.1121816635131836
d,-4.0,c041,0.42247676849365234,-0.3260469436645508
d,-4.0,c006,0.5207853317260742,-0.4924449920654297
d,-4.0,c039,0.22977638244628906,-0.4718475341796875
d,-4.0,c017,0.0827016830444336,-0.5430498123168945
d,-4.0,c058,0.31891345977783203,-0.26853275299072266
d,-4.0,c002,0.22640037536621094,-0.2881031036376953
d,-4.0,c024,-0.1277780532836914,-0.2783842086791992
d,-4.0,c023,0.2809562683105469,-0.29011058807373047
d,-4.0,c022,-0.1481475830078125,-0.36267566680908203
d,-4.0,c056,0.5863542556762695,-0.21375370025634766
d,-4.0,c029,0.11783313751220703,-0.2223491668701172
d,-4.0,c025,-0.02504730224609375,-0.18373680114746094
d,-4.0,c000,0.35437774658203125,-0.23451519012451172
d,-4.0,c036,-0.03134632110595703,-0.2940673828125
d,-4.0,c020,1.193777084350586,-0.6304559707641602
d,-4.0,c011,0.2756481170654297,-0.6345481872558594
d,-4.0,c003,0.2145099639892578,-0.489105224609375
d,-4.0,c045,1.1385879516601562,-0.7165441513061523
d,-4.0,c046,0.22494983673095703,-0.4015331268310547
d,-4.0,c044,1.212449073791504,-0.7808361053466797
d,-4.0,c008,-0.24492359161376953,-0.17585468292236328
d,-4.0,c049,0.045928001403808594,-0.5655555725097656
d,-4.0,c013,1.0216197967529297,-0.6418018341064453
d,-4.0,c042,0.06000328063964844,-0.8608436584472656
d,-4.0,c009,-0.2891578674316406,-0.23110198974609375
d,-4.0,c047,0.19425678253173828,-0.23118877410888672
