direction,alpha,content_id,belief,delta
d,-1.0,c041,0.48271942138671875,0.09428215026855469
d,-1.0,c006,0.11809921264648438,0.09426498413085938
d,-1.0,c039,0.0925912857055664,0.07700729370117188
d,-1.0,c017,0.31241798400878906,0.10328865051269531
d,-1.0,c058,0.6222734451293945,0.12117385864257812
d,-1.0,c002,-0.03992938995361328,0.09838104248046875
d,-1.0,c024,0.4405059814453125,0.11008262634277344
d,-1.0,c023,0.08289337158203125,0.09328460693359375
d,-1.0,c022,0.12428951263427734,0.08757877349853516
d,-1.0,c056,0.5410375595092773,0.12467575073242188
d,-1.0,c029,-0.07971858978271484,0.07227420806884766
d,-1.0,c025,0.3967561721801758,0.12067508697509766
d,-1.0,c000,0.25234317779541016,0.09546184539794922
d,-1.0,c036,0.13579940795898438,0.11939144134521484
d,-1.0,c020,0.9056539535522461,0.13347625732421875
d,-1.0,c011,0.02567005157470703,0.08629035949707031
d,-1.0,c003,-0.1892385482788086,0.0870370864868164
d,-1.0,c045,0.8730192184448242,0.12897300720214844
d,-1.0,c046,0.3192586898803711,0.10211658477783203
d,-1.0,c044,1.0240707397460938,0.13202762603759766
d,-1.0,c008,-0.09886455535888672,0.07060432434082031
d,-1.0,c049,0.6904420852661133,0.090911865234375
d,-1.0,c013,1.1101455688476562,0.12741661071777344
d,-1.0,c042,0.3506326675415039,0.10892963409423828
d,-1.0,c009,-0.0677499771118164,0.07007503509521484
d,-1.0,c047,0.46271228790283203,0.10647869110107422
d,-1.0,c050,0.5490522384643555,0.10429859161376953
d,-1.0,c043,0.5067720413208008,0.12225723266601562
d,-1.0,c016,-0.014514923095703125,0.09228992462158203
d,-1.0,c014,0.5161619186401367,0.12125301361083984
d,-1.0,c041,0.36449527740478516,0.10732364654541016
d,-1.0,c006,-0.15939903259277344,0.09300422668457031
d,-1.0,c039,0.34082508087158203,0.08567619323730469
d,-1.0,c017,0.5057792663574219,0.09520149230957031
d,-1.0,c058,-0.11091995239257812,0.08987236022949219
d,-1.0,c002,0.08941936492919922,0.08463764190673828
d,-1.0,c024,0.13815975189208984,0.11126327514648438
d,-1.0,c023,0.2360515594482422,0.0976858139038086
d,-1.0,c022,0.21092510223388672,0.10364055633544922
d,-1.0,c056,0.34195518493652344,0.11388778686523438
d,1.0,c041,0.28252410888671875,-0.10591316223144531
d,1.0,c006,-0.07497310638427734,-0.09880733489990234
d,1.0,c039,-0.06743907928466797,-0.0830230712890625
d,1.0,c017,0.11194324493408203,-0.09718608856201172
d,1.0,c058,0.3817710876464844,-0.11932849884033203
d,1.0,c002,-0.2355203628540039,-0.09720993041992188
d,1.0,c024,0.21718406677246094,-0.11323928833007812
d,1.0,c023,-0.10443687438964844,-0.09404563903808594
d,1.0,c022,-0.04873371124267578,-0.08544445037841797
d,1.0,c056,0.2827625274658203,-0.13359928131103516
d,1.0,c029,-0.22687244415283203,-0.07487964630126953
d,1.0,c025,0.15403175354003906,-0.12204933166503906
d,1.0,c000,0.05677032470703125,-0.10011100769042969
d,1.0,c036,-0.10589218139648438,-0.1223001480102539
d,1.0,c020,0.6423358917236328,-0.12984180450439453
d,1.0,c011,-0.1464366912841797,-0.0858163833618164
d,1.0,c003,-0.36316967010498047,-0.08689403533935547
d,1.0,c045,0.6139011383056641,-0.13014507293701172
d,1.0,c046,0.11530017852783203,-0.10184192657470703
d,1.0,c044,0.7567453384399414,-0.1352977752685547
d,1.0,c008,-0.24134063720703125,-0.07187175750732422
d,1.0,c049,0.505274772644043,-0.09425544738769531
d,1.0,c013,0.8574457168579102,-0.12528324127197266
d,1.0,c042,0.1310567855834961,-0.11064624786376953
d,1.0,c009,-0.21094322204589844,-0.07311820983886719
d,1.0,c047,0.24433135986328125,-0.11190223693847656
d,1.0,c050,0.3360624313354492,-0.10869121551513672
d,1.0,c043,0.2544536590576172,-0.13006114959716797
d,1.0,c016,-0.2002582550048828,-0.09345340728759766
d,1.0,c014,0.2681875228881836,-0.12672138214111328
d,1.0,c041,0.14259719848632812,-0.11457443237304688
d,1.0,c006,-0.34353160858154297,-0.09112834930419922
d,1.0,c039,0.16086769104003906,-0.09428119659423828
d,1.0,c017,0.31365394592285156,-0.096923828125
d,1.0,c058,-0.2893524169921875,-0.08856010437011719
d,1.0,c002,-0.08047199249267578,-0.08525371551513672
d,1.0,c024,-0.08760547637939453,-0.114501953125
d,1.0,c023,0.03950977325439453,-0.09885597229003906
d,1.0,c022,0.0023956298828125,-0.104888916015625
d,1.0,c056,0.10796928405761719,-0.12009811401367188
d,-4.0,c041,0.6592140197753906,0.27077674865722656
d,-4.0,c006,0.3221883773803711,0.2983541488647461
d,-4.0,c039,0.2559986114501953,0.24041461944580078
d,-4.0,c017,0.5945491790771484,0.3854198455810547
d,-4.0,c058,0.9454917907714844,0.44439220428466797
d,-4.0,c002,0.20401954650878906,0.3423299789428711
d,-4.0,c024,0.7023210525512695,0.37189769744873047
d,-4.0,c023,0.3094358444213867,0.3198270797729492
d,-4.0,c022,0.35172462463378906,0.3150138854980469
d,-4.0,c056,0.7998790740966797,0.3835172653198242
d,-4.0,c029,0.07699012756347656,0.22898292541503906
